index,titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,url,lat,lon
0,Piso en calle Luis Garcia Cereceda,La Finca (Pozuelo de Alarcón),8500.0,3.0,3.0,378.0,378.0,188.0,https://www.pisos.com/alquilar/piso-la_finca-49178402159_280500/,https://www.pisos.com/alquilar/piso-la_finca-49178402159_280500/,40.4078597,-3.811254
1,Piso en calle Libertad,La Navata (Galapagar),1450.0,3.0,1.0,90.0,90.0,87.0,https://www.pisos.com/alquilar/piso-galapagar_la_navata28420-43338541420_100500/,https://www.pisos.com/alquilar/piso-galapagar_la_navata28420-43338541420_100500/,40.586148562,-3.996056727
2,Casa unifamiliar en calle XIX,Las Matas-Los Peñascales (Las Rozas de Madrid),4000.0,6.0,7.0,600.0,600.0,600.0,https://www.pisos.com/alquilar/casa_unifamiliar-las_matas_los_penascales-29189878080_280500/,https://www.pisos.com/alquilar/casa_unifamiliar-las_matas_los_penascales-29189878080_280500/,40.566081683,-3.897150552
3,Piso en calle de Ponzano,Río Rosas (Distrito Chamberí. Madrid Capital),3500.0,4.0,3.0,226.0,,,https://www.pisos.com/alquilar/piso-rios_rosas28003-52592214693_104700/,https://www.pisos.com/alquilar/piso-rios_rosas28003-52592214693_104700/,,
4,Piso en Zona Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),1400.0,1.0,1.0,65.0,65.0,,https://www.pisos.com/alquilar/piso-zona_avenida_de_europa28224-45068829832_101800/,https://www.pisos.com/alquilar/piso-zona_avenida_de_europa28224-45068829832_101800/,40.4325624,-3.804644
5,"Piso en calle de Gravina, 15",Justicia-Chueca (Distrito Centro. Madrid Capital),1990.0,2.0,2.0,55.0,55.0,,https://www.pisos.com/alquilar/piso-justicia_chueca28004-52539451934_108900/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-52539451934_108900/,40.422911,-3.697106
6,Ático en La Navata,La Navata (Galapagar),1700.0,4.0,2.0,130.0,130.0,,https://www.pisos.com/alquilar/atico-galapagar_la_navata28260-20849829404_101800/,https://www.pisos.com/alquilar/atico-galapagar_la_navata28260-20849829404_101800/,40.5843915,-3.9957024
7,"Estudio en calle de Pollensa, 5",Parque Empresarial (Las Rozas de Madrid),1147.0,1.0,50.0,,50.0,,https://www.pisos.com/alquilar/estudio-parque_empresarial28290-45008053320_101800/,https://www.pisos.com/alquilar/estudio-parque_empresarial28290-45008053320_101800/,40.5316,-3.89072
8,Piso en Colonia de los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),1800.0,2.0,2.0,120.0,120.0,120.0,https://www.pisos.com/alquilar/piso-somosaguas_humera_los_angeles-52524748784_280500/,https://www.pisos.com/alquilar/piso-somosaguas_humera_los_angeles-52524748784_280500/,40.4077973,-3.7836044
9,Piso en calle del Marqués de Lozoya,Estrella (Distrito Retiro. Madrid Capital),1900.0,2.0,2.0,105.0,105.0,,https://www.pisos.com/alquilar/piso-retiro_estrella28007-53370434507_100500/,https://www.pisos.com/alquilar/piso-retiro_estrella28007-53370434507_100500/,40.4171365,-3.6664907
10,Piso en calle de Zurbano,Almagro (Distrito Chamberí. Madrid Capital),3500.0,3.0,2.0,150.0,150.0,,https://www.pisos.com/alquilar/piso-chamberi_almagro28010-52501425824_106000/,https://www.pisos.com/alquilar/piso-chamberi_almagro28010-52501425824_106000/,40.4378321,-3.6930425
11,Ático en calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),4100.0,3.0,2.0,150.0,,,https://www.pisos.com/alquilar/atico-jeronimos28014-45882710017_440000/,https://www.pisos.com/alquilar/atico-jeronimos28014-45882710017_440000/,,
12,Piso en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1200.0,1.0,1.0,55.0,55.0,50.0,https://www.pisos.com/alquilar/piso-penagrande28035-52559515484_521139/,https://www.pisos.com/alquilar/piso-penagrande28035-52559515484_521139/,40.4784458,-3.7191302
13,Apartamento en calle de Juan de Olías,Cuatro Caminos (Distrito Tetuán. Madrid Capital),950.0,1.0,1.0,40.0,40.0,35.0,https://www.pisos.com/alquilar/apartamento-tetuan_cuatro_caminos28020-17565316862_998146/,https://www.pisos.com/alquilar/apartamento-tetuan_cuatro_caminos28020-17565316862_998146/,40.4533695,-3.7004087
