titulo,ubicacion,precio,habitaciones,baños,metros,superficie_construida,link,url,lat,lon,piso,casa,atico,estudio,apartamento,duplex,chalet,finca,loft,conservacion,precio_m2,distrito
"Piso en calle de Gravina, 15",Justicia-Chueca,1990.0,2.0,2.0,55.0,55.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-52539451934_108900/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-52539451934_108900/,40.422911,-3.697106,True,False,False,False,False,False,False,False,False,A estrenar,36.0,Centro
Piso en Avenida de los Prunos,Palomas,1600.0,2.0,2.0,93.0,93.0,https://www.pisos.com/alquilar/piso-hortaleza_palomas28043-882102400_998146/,https://www.pisos.com/alquilar/piso-hortaleza_palomas28043-882102400_998146/,40.4534473,-3.6195248,True,False,False,False,False,False,False,False,False,En buen estado,17.0,Hortaleza
Dúplex en calle del Cardenal Mendoza,Puerta del Ángel,1750.0,2.0,1.0,130.0,130.0,https://www.pisos.com/alquilar/duplex-puerta_del_angel-48426637772_100500/,https://www.pisos.com/alquilar/duplex-puerta_del_angel-48426637772_100500/,40.4120151,-3.727691,False,False,False,False,False,True,False,False,False,En buen estado,13.0,Latina
Piso en calle Lagasca,Castellana,3500.0,2.0,2.0,92.0,92.0,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-51757571258_996152/,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-51757571258_996152/,40.4366793,-3.6841137,True,False,False,False,False,False,False,False,False,En buen estado,38.0,Salamanca
Piso en Paseo de Pontones,Imperial,1700.0,2.0,2.0,88.0,88.0,https://www.pisos.com/alquilar/piso-imperial28005-52548342025_529055/,https://www.pisos.com/alquilar/piso-imperial28005-52548342025_529055/,40.4045019,-3.7174026,True,False,False,False,False,False,False,False,False,Reformado,19.0,Arganzuela
Piso en calle de Hernán Cortés,Justicia-Chueca,2200.0,1.0,2.0,68.0,68.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-51713284831_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-51713284831_100500/,40.4235526,-3.7001462,True,False,False,False,False,False,False,False,False,En buen estado,32.0,Centro
Piso en calle de Fernán González,Niño Jesús,3040.0,3.0,2.0,80.0,80.0,https://www.pisos.com/alquilar/piso-nino_jesus28009-42589943480_100500/,https://www.pisos.com/alquilar/piso-nino_jesus28009-42589943480_100500/,40.4188347,-3.674456,True,False,False,False,False,False,False,False,False,En buen estado,38.0,Retiro
Piso en calle del Almirante,Justicia-Chueca,1995.0,1.0,1.0,76.0,76.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-45833694266_100500/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-45833694266_100500/,40.4224159,-3.6934048,True,False,False,False,False,False,False,False,False,En buen estado,26.0,Centro
Piso en calle del Caballero de Gracia,Sol,3300.0,2.0,2.0,108.0,108.0,https://www.pisos.com/alquilar/piso-sol_barrio28014-45852386225_100500/,https://www.pisos.com/alquilar/piso-sol_barrio28014-45852386225_100500/,40.419517,-3.7003284,True,False,False,False,False,False,False,False,False,En buen estado,30.0,Centro
Piso en calle Cava Baja,Palacio,1500.0,1.0,1.0,37.0,37.0,https://www.pisos.com/alquilar/piso-centro_palacio28005-45915956478_100900/,https://www.pisos.com/alquilar/piso-centro_palacio28005-45915956478_100900/,40.4130933,-3.7086104,True,False,False,False,False,False,False,False,False,En buen estado,40.0,Centro
"Piso en calle de San Mateo, 3",Justicia-Chueca,1500.0,2.0,1.0,65.0,65.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-49205237030_528374/,https://www.pisos.com/alquilar/piso-justicia_chueca28004-49205237030_528374/,40.42541,-3.6997473,True,False,False,False,False,False,False,False,False,En buen estado,23.0,Centro
Ático en calle de la Puebla,Universidad-Malasaña,2900.0,2.0,2.0,105.0,105.0,https://www.pisos.com/alquilar/atico-universidad_malasana28004-41691695190_996542/,https://www.pisos.com/alquilar/atico-universidad_malasana28004-41691695190_996542/,40.4223206,-3.7035902,False,False,True,False,False,False,False,False,False,En buen estado,27.0,Centro
Piso en calle del Príncipe de Vergara,Castellana,2825.0,2.0,2.0,60.0,60.0,https://www.pisos.com/alquilar/piso-barrio_de_salamanca_castellana28006-42533163729_100500/,https://www.pisos.com/alquilar/piso-barrio_de_salamanca_castellana28006-42533163729_100500/,40.4484224,-3.6775172,True,False,False,False,False,False,False,False,False,En buen estado,47.0,Salamanca
Dúplex en calle de Maldonado,Castellana,3100.0,2.0,2.0,116.0,116.0,https://www.pisos.com/alquilar/duplex-barrio_de_salamanca_castellana28006-52500364975_520609/,https://www.pisos.com/alquilar/duplex-barrio_de_salamanca_castellana28006-52500364975_520609/,40.4340759,-3.6848971,False,False,False,False,False,True,False,False,False,En buen estado,26.0,Salamanca
Apartamento en calle de Santa Ana,Embajadores-Lavapiés,900.0,1.0,1.0,35.0,35.0,https://www.pisos.com/alquilar/apartamento-centro_embajadores_lavapies28005-52546947727_992238/,https://www.pisos.com/alquilar/apartamento-centro_embajadores_lavapies28005-52546947727_992238/,40.4103687,-3.7079413,False,False,False,False,True,False,False,False,False,Reformado,25.0,Centro
