titulo,ubicacion,link,descripcion_ampliada,tipo_vivienda,precio,habitaciones,baños,superficie_construida,superficie_util,metros,lat,lon,piso,casa,atico,estudio,apartamento,duplex,chalet,finca,loft,conservacion,precio_m2,distrito
Piso en calle de Tetuán,Sol,https://www.pisos.com/comprar/piso-sol_barrio28013-53433152926_524671/,"Studios y proyectos madrid vende espectacular piso! En una cuarta planta en el centro de madrid, zona: gran via, callao, sol, totalmente reformada y equipada con altas calidades a estrenar.

Gran piso de 140 m²
Puede usarse además de vivienda familiar también de uso de alquiler turístico.

Con una distribución de 3 habitaciones dobles totalmente amuebladas y equipadas,
Tres de ellas en suite con 3 baños. Salón, comedor.
Cocina integrada con todos los electrodomésticos de alta gama y diseño,
Calefacción individual de gas natural, aire acondicionado, ventanas climalit, suelos de tarima de madera, armarios empotrados.

Se entrega con muebles de diseño hechos a medida, acabados en madera y una excelente iluminación mediante luces led, incluyen carpintería artesanal e iluminación de diferentes ambientes.

Muchas de nuestras propiedades no aparecen en idealista, consulta nuestra página web para ver más propiedades exclusivas.",Piso,1119000.0,3.0,3.0,139.0,125.0,139.0,40.4174162,-3.7038621,True,False,False,False,False,False,False,False,False,Reformado,8050.0,Centro
Piso en calle de Bocángel,Fuente del Berro,https://www.pisos.com/comprar/piso-fuente_del_berro28028-631974332_440000/,"Moderna y luminosa Vivienda totalmente exterior, con una superficie aproximada total de 75 m².

Consta de tres dormitorios (dos individuales y uno doble), amplia cocina independiente totalmente equipada, acogedor salón-comedor, dos terrazas, un completo cuarto de baño (plato de ducha con mampara) y hall-distribuidor.

Con una fantástica distribución, que permite el máximo aprovechamiento de todos los espacios, muy soleado, cuenta con dos agradables terrazas exteriores, ventilación cruzada en todas sus estancias, techos altos, suelos de parquet, cerramientos dobles (climalite y oscilobatientes), aire acondicionado inverter, práctico y espacioso altillo de almacenamiento y puerta blindada.

Presentamos diversos planos, que además de la distribución actual, y planteando solo pequeñas modificaciones o mejoras, puedan adaptar el inmueble a diferentes gustos o necesidades habitacionales.

El edificio, con portero físico, calefacción central (con contadores individualizados y válvulas termostáticas), ascensor y sin barreras arquitectónicas; está además ubicado en el acogedor y tranquilo Barrio de la Fuente del Berro, donde cuenta con la cercanía del disfrutable Parque Quinta de La Fuente del Berro a apenas unos minutos andando, una de las zonas verdes con mas encanto de la capital, aportando un esplendido ambiente, en un Distrito Residencial seguro y muy bien comunicado.

En las proximidades cuenta con múltiples opciones de transporte: por Metro (Ventas y Manuel Becerra), diversas líneas de autobús con paradas a ambos lados de la calle Alcalá, cómoda y rápida salida a la M30 y muy cercana andando a algunas de las principales y más importantes zonas de la capital.

También en las inmediaciones cuenta con toda clase de servicios tanto asistenciales, como educacionales, comerciales, culturales, así como de deporte-ocio.

SIN COMISIÓN ADICIONAL A NUESTRO CLIENTE COMPRADOR.",Piso,550000.0,3.0,1.0,75.0,68.0,75.0,40.427236,-3.662706,True,False,False,False,False,False,False,False,False,En buen estado,7333.0,Salamanca
Piso en calle del Espíritu Santo,Universidad-Malasaña,https://www.pisos.com/comprar/piso-universidad_malasana28004-43355546599_524350/,"Oasis House les presenta este encantador piso reformado en la calle Espíritu Santo

La vivienda presenta una reforma muy cuidada, singular, que hace que la vivienda sea muy acogedora, combinando la modernidad con lo tradicional, con sus vigas vistas de madera.

La propiedad cuenta con 2 dormitorios, 1 baño, despacho y una cocina totalmente equipada integrada al salón.

Situado en pleno corazón de Malasaña, dispone de la más amplia variedad de servicios y ocio alrededor, a la vez que la comunicación en transporte pública es perfecta y amplia.

Gracias a su ubicación, puede ser ideal para invertir en esta propiedad.

Disfruta de esta casa en pleno centro de Madrid y disfruta de la vida de Madrid.
Si has pensado vivir en pleno centro de Madrid, esta es tu casa
¡Contáctanos para más agendar una visita!

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona!
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad

Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web www.theoasishouse.es",Piso,548000.0,2.0,1.0,80.0,70.0,80.0,40.4256246,-3.7049534,True,False,False,False,False,False,False,False,False,Reformado,6850.0,Centro
Piso en calle del Salitre,Embajadores-Lavapiés,https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-50892172085_500823/,"¡Oportunidad única en el corazón de Lavapiés! Este acogedor apartamento de 30 m² te espera para que lo transformes en tu hogar ideal. Ubicado en una de las zonas más vibrantes de Madrid, a un paso del metro de Lavapiés, disfrutarás de un entorno lleno de vida y con todos los servicios al alcance. La vivienda cuenta con dos dormitorios, un baño, salón y cocina, distribuidos a través de un pasillo de entrada. Aunque necesita reformas, su encanto reside en su historia, ya que fue construido en 1890.
El piso se encuentra en un primer piso interior sin ascensor, accediendo a través de una pintoresca corrala, lo que añade un toque auténtico al ambiente. Las habitaciones disponen de ventanas que dan a patios interiores, lo que garantiza tranquilidad. ¡No dejes pasar esta oportunidad y descubre el encanto de vivir en Lavapiés!
Producto ideal como inversión debido a la alta demanda de arrendamientos de la zona.",Piso,139000.0,2.0,1.0,30.0,30.0,30.0,40.4085875,-3.6993992,True,False,False,False,False,False,False,False,False,A reformar,4633.0,Centro
Piso en calle de Don Ramón de la Cruz,Goya,https://www.pisos.com/comprar/piso-goya28001-51703868044_100200/,"Agencia inmobiliaria de MADRID - zona SALAMANCA - zona LISTA - zona GOYA.

Se vende piso luminoso y reformado. Consta de 30 m2 útiles, salón, cocina independiente, 1 dormitorio y baño completo.

Gran oportunidad de inversión para alquilar.

La vivienda está junto a todo tipo de servicios, como supermercados, colegios, centros de salud, farmacias y dotada de todo tipo de transporte como una gran variedad de líneas de autobuses urbanos o diversas líneas de metros (Metro Lista-L4 Diego de León L5-L6-L4, Manuel Becerra L6-L2 y Ventas L2, L5).

TECNOCASA pone a su disposición su departamento financiero KÍRON, primera red de intermediación financiera líder en España, para ofrecerle un estudio totalmente gratuito y sin compromiso.

No dude en avisarnos para concertar una cita y visitar el inmueble.",Piso,269000.0,1.0,1.0,30.0,155.36831477732792,30.0,40.4289341,-3.678123,True,False,False,False,False,False,False,False,False,Reformado,8966.0,Salamanca
Piso en calle Castelló,Castellana,https://www.pisos.com/comprar/piso-salamanca_castellana28006-50085600917_524671/,"Gestionamos golden visa ¡
Te presentamos un exclusivo inmueble que no querrás dejar escapar. Con sus impecables acabados, mobiliario de alta gama marca arctempus y una ubicación envidiable, este piso te ofrecerá una experiencia de vida sin igual.
Construido con los mas altos estándares de calidad, este maravilloso hogar cuenta con una superficie total de 135 m², vivienda exterior
Adentrandonos en el interior de esta joya inmobiliaria, descubrimos 2 amplias habitaciones que te brindaran todo el confort que necesitas. Cada una de ellas ha sido diseñada pensando en tu bienestar, y cuentan vestidor armarios empotrados de gran capacidad para que puedas almacenar tus prendas y accesorios de forma organizada.
No existe nada mas reconfortante que tener 2 baños a tu disposición, especialmente cuando se trata de optimizar el tiempo en las mañanas y las noches.
Tambien dispone de cuarto de lavadora.
Uno de los mayores atractivos de este piso es su ubicación privilegiada, y eso es algo de lo que te beneficiaras enormemente.
La calefacción de gas natural asegura una temperatura agradable en todas las estaciones del año, para que disfrutes de una sensación de bienestar constante en tu hogar. Y en esos días calurosos de verano, el aire acondicionado proporciona un oasis de frescura en cada rincón de la vivienda.
La cocina, completamente amueblada, es una joya en si misma. Equipada con electrodomésticos de última generación y con un mobiliario seleccionado minuciosamente de la prestigiosa marca arctempus, ofrece la combinación perfecta entre diseño y funcionalidad.
Por supuesto, no podemos olvidarnos de mencionar el elegante mobiliario que adorna cada uno de los espacios de este precioso piso. Cada pieza ha sido escogida con esmero para crear una estética acogedora y temporal que invite al relax y al bienestar.
Muchas de nuestras propiedades no estan publicadas en los portales inmobiliarios por deseo de sus propietarios. Consulta nuestra paguinaaa web para todas nuestras propiedades.
No se lo piense llámenos y le informamos de lo que necesite, además le ayudamos con la financiación. Estamos a su disposicion.

Studios y proyectos madrid creando hogares
Tu éxito nuestra meta.",Piso,1329000.0,2.0,2.0,135.0,130.0,135.0,40.4361522,-3.6804593,True,False,False,False,False,False,False,False,False,Reformado,9844.0,Salamanca
Piso en calle de Ruiz,Universidad-Malasaña,https://www.pisos.com/comprar/piso-universidad_malasana28004-51717176088_524350/,"Oasis House les presenta este bonito piso a estrenar y amueblado en la zona de Universidad-Malasaña.

Ubicado en el emblemático barrio de Centro, este piso exterior ofrece una combinación única de ubicación privilegiada y la oportunidad de personalizar cada detalle para adaptarse a tu estilo.

Situado en una cuarta planta exterior, su disposición garantiza luz natural y vistas al entorno urbano. La vivienda cuenta con dos habitaciones y un baño, destacándose por dos balcones que aporta un toque especial a su diseño. Equipado con calefacción comunitaria y aire acondicionado, este espacio asegura un ambiente agradable durante todo el año. El edificio dispone de ascensor, ofreciendo comodidad y accesibilidad para el día a día.

No pierdas la oportunidad de vivir en una de las zonas más vibrantes y emblemáticas de Madrid.

En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de:
- asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos
- servicio de reformas y de proyectos de interiorismo
- profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona
- Certificados de eficiencia energética
- Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad
- Experiencia, eficacia y seriedad
Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web www.theoasishouse.es",Piso,799000.0,2.0,1.0,79.0,69.0,79.0,40.4277226,-3.7038499,True,False,False,False,False,False,False,False,False,A estrenar,10113.0,Centro
Dúplex en calle de Víctor González,Canillejas,https://www.pisos.com/comprar/duplex-san_blas_canillejas28022-53352760849_100500/,"Vohome propiedades vende estupendo dúplex con patio en Canillejas.
El inmueble cuenta con dos habitaciones, una de ellas con vestidor y dos baños. Salón con acceso a cocina independiente, además de tendedero y un patio de uso propio de unos 13 m2.
Construcción del año 2002.
La vivienda dispone de ascensor y aire acondicionado.
Inmejorable ubicación a dos minutos del metro Canillejas y rodeado de todos los servicios.
La zona goza de una comunicación excelente como la línea 5 de metro con sus estaciones Canillejas y Torrearías, Líneas (140/77/153/105/165) e intercambiador de autobuses interurbanos a todo el Corredor de Henares. Todo tipo de comercios cercanos.

Cómoda salida a la A2 y M40 con el Aeropuerto Madrid Barajas 5 minutos incluso con autobús directo y Avenida América a 10 minutos, Podremos encontrar todo tipo de comercios, centro de salud y colegios.
A escasos minutos se podrá disfrutar del parque Juan Carlos I, uno de los más grandes de la ciudad, el parque El capricho o La Quinta de Los Molinos.

Póngase en contacto con VOhome propiedades para solicitar una visita, si necesita financiación ponemos a disposición nuestro departamento financiero.

Te informamos que contamos con servicios propios y externalizados, como los de reformas y decoración, los que realizarán tus presupuestos sin compromiso.
Al igual que ponemos a tu entera disposición nuestro departamento financiero
Te ayudamos a conseguir las mejores condiciones del mercado para tu hipoteca.
Te financiamos tu vivienda hasta el 100% del valor de compraventa.

No dudes en llamarnos, puedes contactarnos si lo prefieres, en nuestra oficina o al teléfono 917 418 240. Te atenderemos con mucho gusto.

VOhome propiedades, somos tu inmobiliaria en Madrid. Te ayudamos a encontrar la casa de tus sueños",Dúplex,299900.0,2.0,2.0,65.0,60.0,65.0,40.4474149,-3.6085582,False,False,False,False,False,False,False,False,False,En buen estado,4307.0,San Blas
Piso en calle de los Ferroviarios,Almendrales,https://www.pisos.com/comprar/piso-almendrales28026-51720830885_100500/,"¡Descubre tu nuevo hogar en el vibrante barrio de Usera! Este encantador piso de 68m² te ofrece una ubicación inmejorable, a solo 5 minutos de las estaciones de metro de Usera, Almendrales, con conexión a cercanías en la estación del 12 de Octubre, y cerca de la animada avenida Marcelo Usera. Perfecto para quienes desean estar conectados con el corazón de Madrid, este inmueble en primera planta sin ascensor combina comodidad y estilo. Amplio salón con tres dormitorios y un baño.
La cocina independiente amueblada con todos los electrodomésticos incluida lavadora, frigorífico, microondas, ofreciendo un espacio moderno que puedes personalizar a tu gusto. Además, cuenta con dos armarios empotrados y calefacción individual por gas natural. Este piso es una excelente opción tanto para vivir como para invertir, gracias a su buena situación en un barrio dinámico y en constante crecimiento. No pierdas la oportunidad de visitar esta joya recién reformado todo a estrenar que te espera para convertirse en tu nuevo hogar.",Piso,285000.0,3.0,1.0,71.0,68.0,71.0,40.3851594,-3.7049334,True,False,False,False,False,False,False,False,False,En buen estado,4014.0,Usera
Piso en calle de Rafaela Bonilla,Guindalera,https://www.pisos.com/comprar/piso-guindalera28028-52544082985_440000/,"Este fantástico piso de aproximadamente 85 m² y 3 dormitorios (2 dobles y 1 simple) te ofrece todo lo necesario para disfrutar de una vida cómoda y con estilo. Equipado con armarios empotrados en todas las habitaciones y pasillos, podrás aprovechar al máximo el espacio de almacenamiento.

El salón comedor, amplio y luminoso, tiene acceso directo a una terraza perfecta para relajarte. La cocina, integrada al salón, está completamente equipada y amueblada.

Con orientación este, este piso destaca por su excelente luminosidad y circulación de aire natural en todas las estancias, creando un ambiente fresco y lleno de luz. Además, cuenta con un baño completo. La calefacción central con contador individual te permitirá gestionar el consumo a tu gusto.

El edificio ha superado la ITE con resultado positivo, sin derramas pendientes. El IBI anual es de aproximadamente 580 euros.

La finca, tranquila y bien cuidada, dispone de plazas de garaje en el mismo edificio, con conserje físico y rampas de acceso para mayor comodidad y accesibilidad.

Ubicado en el prestigioso barrio de Guindalera, a solo 6 minutos a pie de la estación de metro Diego de León, disfrutarás de una excelente ubicación, con zonas comerciales, colegios, mercados, restaurantes y mucho más a tu alcance.

No dejes pasar la oportunidad de vivir en un piso con todas las comodidades y en una zona inmejorable. ¡Llama ahora y agenda tu visita!",Piso,580000.0,3.0,1.0,85.0,70.0,85.0,40.434233,-3.6672526,True,False,False,False,False,False,False,False,False,En buen estado,6705.0,Salamanca
