titulo_y,ubicacion_y,precio_num,habitaciones_num,baños_num,metros_num,superficie_construida_num,superficie_util_num,link,es_outlier
Piso en calle Luis Garcia Cereceda,La Finca (Pozuelo de Alarcón),8500.0,3.0,3.0,378.0,378.0,188.0,https://www.pisos.com/alquilar/piso-la_finca-49178402159_280500/,True
Piso en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),11500.0,3.0,4.0,248.0,248.0,192.0,https://www.pisos.com/alquilar/piso-justicia_chueca28004-42520786919_109300/,True
Chalet en Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),6000.0,6.0,5.0,,,,https://www.pisos.com/alquilar/chalet-el_soto_de_la_moraleja28109-49180592695_106000/,True
Casa pareada en calle calle del Camino Ancho,La Moraleja (La Moraleja),6500.0,5.0,5.0,342.0,,,https://www.pisos.com/alquilar/casa_pareada-la_moraleja_distrito28109-5011162220_101800/,True
Piso en calle de Juan Bravo,Castellana (Distrito Salamanca. Madrid Capital),6500.0,4.0,5.0,241.0,241.0,235.0,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-51745860472_996542/,True
Piso en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),8000.0,3.0,3.0,283.0,283.0,157.0,https://www.pisos.com/alquilar/piso-recoletos28001-51721094916_108500/,True
Chalet en calle Bellatrix,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),8500.0,6.0,7.0,650.0,650.0,600.0,https://www.pisos.com/alquilar/chalet-moncloa_aravaca_aravaca28023-945856909558165_109700/,True
Piso en Madrid,Castellana (Distrito Salamanca. Madrid Capital),6000.0,4.0,4.0,264.0,264.0,,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-25869676436_100500/,True
Casa adosada en calle Bellatrix,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),8400.0,5.0,7.0,650.0,650.0,,https://www.pisos.com/alquilar/casa_adosada-moncloa_aravaca_aravaca28023-46755846428_101800/,True
Apartamento en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),8000.0,3.0,4.0,204.0,204.0,,https://www.pisos.com/alquilar/apartamento-trafalgar28010-38406054757_101800/,True
