timestamp,titulo,precio,ubicacion,habitaciones,baños,metros,link
2025-04-09T17:22:01.982111,"Chalet en Carretera de Madrid, 20",390.000 €,Aldea del Fresno,6 habs.,3 baños,500 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.059280,"Piso en calle Urbanización El Roquedal, nº 13",284.000 €,Hoyo de Manzanares,3 habs.,2 baños,123 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.128402,"Casa adosada en calle de la Gran Vía, 12",338.370 €,Camarma de Esteruelas,3 habs.,3 baños,120 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.202379,Piso en calle de Nuestra Señora de Guadalupe,189.000 €,Centro (Leganés),3 habs.,1 baño,67 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.277152,"Casa adosada en calle de los Hermanos San Román, 1",1.300.000 €,Estación-Zona Norte (Pozuelo de Alarcón),5 habs.,5 baños,338 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.346788,Piso en calle de Martínez Izquierdo,680.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,2 baños,237 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.423756,Chalet en calle del Río Ter,1.095.000 €,Parque de Boadilla (Boadilla del Monte),5 habs.,3 baños,448 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.497447,Piso en calle del Salitre,139.000 €,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2 habs.,1 baño,30 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.579142,Ático en calle Hermosilla,1.309.000 €,Goya (Distrito Barrio de Salamanca. Madrid Capital),2 habs.,2 baños,76 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.668092,Chalet en calle de los Peñotes,269.000 €,Lozoyuela (Lozoyuela-Navas-Sieteiglesias),4 habs.,1 baño,262 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.742048,Piso en Casco Antiguo,240.000 €,Casco Antiguo (Coslada),3 habs.,1 baño,78 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.820791,Piso en calle de Lope de Rueda,1.679.000 €,Ibiza (Distrito Retiro. Madrid Capital),2 habs.,2 baños,133 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.889751,"Piso en calle de la Virgen de Loreto, 18",394.900 €,"Colonia, Avenida de Meco (Distrito El Val. Alcalá de Henares)",3 habs.,2 baños,186 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:02.958792,Chalet adosado en calle Nueva,150.000 €,Cadalso de los Vidrios,3 habs.,3 baños,178 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.028750,Piso en calle de Bocángel,550.000 €,Fuente del Berro (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,1 baño,75 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.102360,Piso en calle de la Isla de Ons,335.000 €,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),2 habs.,2 baños,100 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.199810,Piso en calle de Celinda,195.000 €,Centro (Leganés),3 habs.,1 baño,70 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.272771,Piso en calle de las Huertas,210.000 €,Moraleja de Enmedio,2 habs.,2 baños,85 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.343011,"Piso en calle Arroyo Bueno, 1",375.000 €,San Andrés (Distrito Villaverde. Madrid Capital),3 habs.,2 baños,108 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.413971,Chalet en Valdemorillo,585.000 €,Camping Valdemorillo (Valdemorillo),6 habs.,6 baños,380 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.480651,Piso en calle de Rafaela Bonilla,580.000 €,Guindalera (Distrito Barrio de Salamanca. Madrid Capital),3 habs.,1 baño,85 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.561370,Chalet en calle de Badajoz,4.000.000 €,Monte Alina-La Cabaña (Pozuelo de Alarcón),5 habs.,5 baños,807 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.626481,Chalet en calle de Urano,690.000 €,Zona Parque Sur (Tres Cantos),4 habs.,4 baños,220 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.694549,Casa en calle Mayor,145.000 €,Horcajo de la Sierra-Aoslos,3 habs.,2 baños,98 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.760009,Piso en calle de la Espada,169.900 €,Casco Antiguo (Alcorcón),1 hab.,1 baño,54 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-52519908243_100200/
2025-04-09T17:22:03.829953,Piso en Avenida Coruña,367.000 €,Arroyos y Tempranales (San Sebastián de los Reyes),3 habs.,2 baños,129 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:03.902128,Piso en Casco Antiguo,193.000 €,Casco Antiguo (Coslada),3 habs.,1 baño,83 m²,https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-52549274330_100200/
2025-04-09T17:22:03.971134,Chalet en Valdemorillo,510.000 €,Camping Valdemorillo (Valdemorillo),6 habs.,2 baños,200 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:04.039921,Piso en calle de Alfredo Aleix,195.000 €,Buenavista (Distrito Carabanchel. Madrid Capital),3 habs.,1 baño,59 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:04.110418,Piso en calle de Fuencarral,1.079.000 €,Justicia-Chueca (Distrito Centro. Madrid Capital),3 habs.,4 baños,128 m²,https://www.pisos.com/venta/pisos-madrid/#
2025-04-09T17:22:04.180562,Piso en Carlos Ruiz,132.000 €,Carlos Ruiz (Collado Villalba),2 habs.,1 baño,60 m²,https://www.pisos.com/venta/pisos-madrid/#
